#ZONE  log(T)         X              WORK(P)         WORK(P_NU)      WORK(P_T)        CWORK(P)        CWORK(P_NU)        CWORK(P_T)
 59  0.44330558E+01  0.97607300E+00  0.15540206E-02 -0.47358982E-07  0.00000000E+00  0.27656928E-02 -0.36150295E-02  0.00000000E+00
 58  0.44169825E+01  0.97783953E+00  0.15954312E-02 -0.50370563E-04  0.00000000E+00  0.43611240E-02 -0.36654001E-02  0.00000000E+00
 57  0.44004026E+01  0.97946986E+00  0.16717332E-02 -0.10879054E-03  0.00000000E+00  0.60328571E-02 -0.37741906E-02  0.00000000E+00
 56  0.43830208E+01  0.98096484E+00  0.17918930E-02 -0.15155852E-03  0.00000000E+00  0.78247501E-02 -0.39257492E-02  0.00000000E+00
 55  0.43643867E+01  0.98232504E+00  0.19698134E-02 -0.19855066E-03  0.00000000E+00  0.97945635E-02 -0.41242998E-02  0.00000000E+00
 54  0.43438340E+01  0.98355060E+00  0.22259021E-02 -0.26300622E-03  0.00000000E+00  0.12020466E-01 -0.43873060E-02  0.00000000E+00
 53  0.43205168E+01  0.98464115E+00  0.25690436E-02 -0.35859131E-03  0.00000000E+00  0.14589509E-01 -0.47458974E-02  0.00000000E+00
 52  0.42938770E+01  0.98559693E+00  0.29079848E-02 -0.47000203E-03  0.00000000E+00  0.17497494E-01 -0.52158994E-02  0.00000000E+00
 51  0.42644825E+01  0.98642131E+00  0.30731697E-02 -0.54161279E-03  0.00000000E+00  0.20570664E-01 -0.57575122E-02  0.00000000E+00
 50  0.42319608E+01  0.98712102E+00  0.31644498E-02 -0.60955327E-03  0.00000000E+00  0.23735113E-01 -0.63670654E-02  0.00000000E+00
 49  0.41931253E+01  0.98770390E+00  0.32444496E-02 -0.72049203E-03  0.00000000E+00  0.26979563E-01 -0.70875575E-02  0.00000000E+00
 48  0.41527622E+01  0.98818365E+00  0.24870548E-02 -0.50795995E-03  0.00000000E+00  0.29466618E-01 -0.75955174E-02  0.00000000E+00
 47  0.41233143E+01  0.98858262E+00  0.16646673E-02 -0.27966716E-03  0.00000000E+00  0.31131285E-01 -0.78751846E-02  0.00000000E+00
 46  0.41030415E+01  0.98891800E+00  0.11917653E-02 -0.17230655E-03  0.00000000E+00  0.32323050E-01 -0.80474911E-02  0.00000000E+00
 45  0.40879173E+01  0.98920167E+00  0.90561779E-03 -0.11724161E-03  0.00000000E+00  0.33228668E-01 -0.81647327E-02  0.00000000E+00
 44  0.40757634E+01  0.98944246E+00  0.71361516E-03 -0.84882554E-04  0.00000000E+00  0.33942283E-01 -0.82496153E-02  0.00000000E+00
 43  0.40654996E+01  0.98964732E+00  0.57456995E-03 -0.63914168E-04  0.00000000E+00  0.34516853E-01 -0.83135295E-02  0.00000000E+00
 42  0.40565501E+01  0.98982191E+00  0.46988290E-03 -0.49581113E-04  0.00000000E+00  0.34986736E-01 -0.83631106E-02  0.00000000E+00
 41  0.40485823E+01  0.98997094E+00  0.38840532E-03 -0.39330445E-04  0.00000000E+00  0.35375142E-01 -0.84024410E-02  0.00000000E+00
 40  0.40413927E+01  0.99009831E+00  0.32373524E-03 -0.31754771E-04  0.00000000E+00  0.35698877E-01 -0.84341958E-02  0.00000000E+00
 39  0.40343894E+01  0.99022318E+00  0.31083267E-03 -0.29748176E-04  0.00000000E+00  0.36009709E-01 -0.84639440E-02  0.00000000E+00
 38  0.40269795E+01  0.99034540E+00  0.29883045E-03 -0.28102923E-04  0.00000000E+00  0.36308540E-01 -0.84920469E-02  0.00000000E+00
 37  0.40190262E+01  0.99046481E+00  0.28755815E-03 -0.26783569E-04  0.00000000E+00  0.36596098E-01 -0.85188305E-02  0.00000000E+00
 36  0.40103493E+01  0.99058123E+00  0.27720490E-03 -0.25841689E-04  0.00000000E+00  0.36873303E-01 -0.85446722E-02  0.00000000E+00
 35  0.40007018E+01  0.99069444E+00  0.26780369E-03 -0.25319954E-04  0.00000000E+00  0.37141107E-01 -0.85699921E-02  0.00000000E+00
 34  0.39897306E+01  0.99080418E+00  0.25950712E-03 -0.25296475E-04  0.00000000E+00  0.37400614E-01 -0.85952886E-02  0.00000000E+00
 33  0.39769131E+01  0.99091017E+00  0.25252967E-03 -0.25887828E-04  0.00000000E+00  0.37653143E-01 -0.86211764E-02  0.00000000E+00
 32  0.39614590E+01  0.99101204E+00  0.24689129E-03 -0.27175200E-04  0.00000000E+00  0.37900035E-01 -0.86483516E-02  0.00000000E+00
 31  0.39422358E+01  0.99110941E+00  0.24036745E-03 -0.28565996E-04  0.00000000E+00  0.38140402E-01 -0.86769176E-02  0.00000000E+00
 30  0.39182528E+01  0.99120205E+00  0.22067374E-03 -0.26224169E-04  0.00000000E+00  0.38361076E-01 -0.87031418E-02  0.00000000E+00
 29  0.38913834E+01  0.99129050E+00  0.16784294E-03 -0.15043260E-04  0.00000000E+00  0.38528919E-01 -0.87181850E-02  0.00000000E+00
 28  0.38673382E+01  0.99137636E+00  0.10948427E-03 -0.53343748E-05  0.00000000E+00  0.38638403E-01 -0.87235194E-02  0.00000000E+00
 27  0.38484960E+01  0.99146121E+00  0.74382142E-04 -0.20624218E-05  0.00000000E+00  0.38712785E-01 -0.87255818E-02  0.00000000E+00
 26  0.38336723E+01  0.99154614E+00  0.55053853E-04 -0.11608380E-05  0.00000000E+00  0.38767839E-01 -0.87267427E-02  0.00000000E+00
 25  0.38216228E+01  0.99163189E+00  0.43067587E-04 -0.84419848E-06  0.00000000E+00  0.38810907E-01 -0.87275869E-02  0.00000000E+00
 24  0.38116021E+01  0.99171905E+00  0.34902070E-04 -0.66404119E-06  0.00000000E+00  0.38845809E-01 -0.87282509E-02  0.00000000E+00
 23  0.38031236E+01  0.99180814E+00  0.29054225E-04 -0.48690200E-06  0.00000000E+00  0.38874863E-01 -0.87287378E-02  0.00000000E+00
 22  0.37958365E+01  0.99189961E+00  0.24765594E-04 -0.20627274E-06  0.00000000E+00  0.38899629E-01 -0.87289441E-02  0.00000000E+00
 21  0.37894824E+01  0.99199395E+00  0.21496152E-04 -0.41391534E-09  0.00000000E+00  0.38921125E-01 -0.87289445E-02  0.00000000E+00
 20  0.37838722E+01  0.99209161E+00  0.18908926E-04 -0.43710589E-09  0.00000000E+00  0.38940034E-01 -0.87289449E-02  0.00000000E+00
 19  0.37788676E+01  0.99219311E+00  0.16839847E-04 -0.45755284E-09  0.00000000E+00  0.38956874E-01 -0.87289454E-02  0.00000000E+00
 18  0.37743671E+01  0.99229901E+00  0.15151300E-04 -0.47554612E-09  0.00000000E+00  0.38972025E-01 -0.87289459E-02  0.00000000E+00
 17  0.37702938E+01  0.99240993E+00  0.13750638E-04 -0.49143370E-09  0.00000000E+00  0.38985775E-01 -0.87289464E-02  0.00000000E+00
 16  0.37665882E+01  0.99252658E+00  0.12573154E-04 -0.50554816E-09  0.00000000E+00  0.38998349E-01 -0.87289469E-02  0.00000000E+00
 15  0.37632034E+01  0.99264983E+00  0.11572314E-04 -0.51818490E-09  0.00000000E+00  0.39009921E-01 -0.87289474E-02  0.00000000E+00
 14  0.37601019E+01  0.99278067E+00  0.10713916E-04 -0.52959856E-09  0.00000000E+00  0.39020635E-01 -0.87289479E-02  0.00000000E+00
 13  0.37572534E+01  0.99292031E+00  0.99722179E-05 -0.54000982E-09  0.00000000E+00  0.39030607E-01 -0.87289485E-02  0.00000000E+00
 12  0.37546329E+01  0.99307027E+00  0.93275974E-05 -0.54961083E-09  0.00000000E+00  0.39039935E-01 -0.87289490E-02  0.00000000E+00
 11  0.37522200E+01  0.99323242E+00  0.87649883E-05 -0.55857235E-09  0.00000000E+00  0.39048700E-01 -0.87289496E-02  0.00000000E+00
 10  0.37499978E+01  0.99340917E+00  0.82726304E-05 -0.56705306E-09  0.00000000E+00  0.39056972E-01 -0.87289501E-02  0.00000000E+00
  9  0.37479524E+01  0.99360370E+00  0.78413063E-05 -0.57520876E-09  0.00000000E+00  0.39064814E-01 -0.87289507E-02  0.00000000E+00
  8  0.37460725E+01  0.99382028E+00  0.74638050E-05 -0.58320299E-09  0.00000000E+00  0.39072277E-01 -0.87289513E-02  0.00000000E+00
  7  0.37443495E+01  0.99406491E+00  0.71345971E-05 -0.59122130E-09  0.00000000E+00  0.39079412E-01 -0.87289519E-02  0.00000000E+00
  6  0.37427769E+01  0.99434636E+00  0.68497252E-05 -0.59949427E-09  0.00000000E+00  0.39086262E-01 -0.87289525E-02  0.00000000E+00
  5  0.37413507E+01  0.99467819E+00  0.66069398E-05 -0.60833975E-09  0.00000000E+00  0.39092869E-01 -0.87289531E-02  0.00000000E+00
  4  0.37400699E+01  0.99508302E+00  0.64063528E-05 -0.61825099E-09  0.00000000E+00  0.39099275E-01 -0.87289537E-02  0.00000000E+00
  3  0.37389367E+01  0.99560297E+00  0.62523289E-05 -0.63012027E-09  0.00000000E+00  0.39105527E-01 -0.87289543E-02  0.00000000E+00
  2  0.37379590E+01  0.99633101E+00  0.61592250E-05 -0.64639503E-09  0.00000000E+00  0.39111687E-01 -0.87289550E-02  0.00000000E+00
  1  0.37368539E+01  0.10000000E+01  0.12659544E-04  0.00000000E+00  0.00000000E+00  0.39124346E-01 -0.87289550E-02  0.00000000E+00
#KINETIC ENERGY: 0.22604634E+43
